A/C,N,R,O,RU,UO,U,RO
garlic NR,0.000257673,0.001485411,0.000833649,0.000485032,0.000500189,0.002137173,0.000636605
ginger LR,1.52E-05,0.000227359,0.000136415,7.58E-05,9.09E-05,0.000257673,9.09E-05
ginger HR,0,0,0,1.52E-05,0,3.03E-05,1.52E-05
ginger KR,0.000530504,0.001045851,0.00077302,0.000424403,0.000378931,0.002061387,0.000575976
ginger MR,0,0.000121258,4.55E-05,3.03E-05,4.55E-05,0.000197044,3.03E-05
ginger NR,0.00016673,0.000909435,0.000575976,0.000303145,0.000272831,0.001288367,0.000257673
pepper LR,1.52E-05,4.55E-05,4.55E-05,1.52E-05,1.52E-05,0.000106101,3.03E-05
pepper HR,0,1.52E-05,0,0,0,3.03E-05,0
pepper KR,0.000636605,0.00171277,0.001151951,0.000530504,0.000530504,0.002804092,0.000697234
pepper MR,0,3.03E-05,0,0,1.52E-05,1.52E-05,1.52E-05
pepper NR,6.06E-05,0.000500189,0.00033346,0.000303145,0.000227359,0.000879121,0.000227359
tamarind LR,0,3.03E-05,3.03E-05,1.52E-05,1.52E-05,6.06E-05,0
tamarind HR,0,1.52E-05,1.52E-05,0,0,0,1.52E-05
tamarind MR,0,4.55E-05,3.03E-05,0,0,4.55E-05,1.52E-05
tamarind KR,0.000682077,0.001864343,0.001167109,0.000621448,0.000560818,0.003152709,0.000712391
tamarind NR,3.03E-05,0.000348617,0.000287988,0.000212202,0.000212202,0.000575976,0.000227359
aginomoto LR,1.52E-05,0,4.55E-05,1.52E-05,3.03E-05,3.03E-05,1.52E-05
aginomoto KR,0.000651762,0.002091701,0.001364153,0.000742706,0.000666919,0.003349754,0.000848806
aginomoto NR,4.55E-05,0.000197044,9.09E-05,9.09E-05,7.58E-05,0.000454718,0.000106101
aginomoto MR,0,1.52E-05,3.03E-05,0,1.52E-05,0,0
spices LR,1.52E-05,1.52E-05,4.55E-05,0,1.52E-05,6.06E-05,1.52E-05
spices KR,0.000651762,0.002076544,0.001364153,0.000742706,0.000666919,0.003319439,0.000848806
spices NR,4.55E-05,0.000197044,0.000106101,0.000106101,9.09E-05,0.00043956,0.000106101
spices MR,0,1.52E-05,1.52E-05,0,1.52E-05,1.52E-05,0
coco LR,0.000272831,0.001333839,0.000818492,0.000348617,0.000530504,0.002212959,0.000500189
coco HR,3.03E-05,9.09E-05,4.55E-05,7.58E-05,3.03E-05,0.00016673,9.09E-05
coco KR,0.000348617,0.000394089,0.000287988,3.03E-05,4.55E-05,0.000318302,0.000197044
coco MR,3.03E-05,0.000272831,0.000197044,0.000242516,7.58E-05,0.000818492,0.000151573
coco NR,3.03E-05,0.000212202,0.000181887,0.000151573,0.000106101,0.000318302,3.03E-05
horlicks LR,0.000272831,0.001242895,0.000818492,0.000454718,0.000469875,0.002197802,0.00043956
horlicks HR,1.52E-05,3.03E-05,1.52E-05,0,3.03E-05,0.000181887,3.03E-05
horlicks KR,0.000378931,0.000560818,0.000318302,6.06E-05,6.06E-05,0.000424403,0.000227359
horlicks MR,0,0.000212202,0.000151573,0.000181887,0.000121258,0.00060629,0.000197044
horlicks NR,4.55E-05,0.000257673,0.000227359,0.000151573,0.000106101,0.000424403,7.58E-05
boost LR,3.03E-05,0.000106101,0.000151573,4.55E-05,7.58E-05,0.00033346,0.000151573
boost HR,0,1.52E-05,0,0,0,4.55E-05,0
boost KR,0.000636605,0.001834028,0.00110648,0.000727548,0.000545661,0.002546419,0.000651762
boost MR,1.52E-05,4.55E-05,1.52E-05,0,1.52E-05,6.06E-05,0
boost NR,3.03E-05,0.000303145,0.000257673,7.58E-05,0.000151573,0.000848806,0.00016673
nuts LR,7.58E-05,0.000409246,0.000318302,0.000197044,0.000227359,0.001045851,0.000242516
nuts HR,1.52E-05,0.00016673,7.58E-05,7.58E-05,1.52E-05,0.000197044,4.55E-05
nuts MR,3.03E-05,0.000287988,0.000197044,0.000136415,6.06E-05,0.000515347,0.000181887
nuts KR,0.000394089,0.000560818,0.00033346,0.000181887,0.000181887,0.000803335,0.000106101
nuts NR,0.000197044,0.000879121,0.00060629,0.000257673,0.000303145,0.00127321,0.000394089
runningnose YES,1.52E-05,0.001773399,0.000181887,0.000712391,0,4.55E-05,0.000757863
runningnose NO,0.000697234,0.000530504,0.001348996,0.000136415,0.000788177,0.003789314,0.000212202
sneeze YES,0,0.001803714,0.000212202,0.000727548,0,1.52E-05,0.000788177
sneeze NO,0.000712391,0.000500189,0.001318681,0.000121258,0.000788177,0.003819629,0.000181887
cough YES,0,0.001000379,0.000212202,0.000515347,3.03E-05,0,0.000575976
cough NO,0.000712391,0.001303524,0.001318681,0.00033346,0.000757863,0.003834786,0.000394089
wheezeBlocks YES,0,0.001318681,0.000363774,0.000651762,3.03E-05,3.03E-05,0.000636605
wheezeBlocks NO,0.000712391,0.000985222,0.001167109,0.000197044,0.000757863,0.003804471,0.00033346
headache YES,0,0.000575976,9.09E-05,0.000530504,1.52E-05,0,0.000560818
headache NO,0.000712391,0.001727927,0.001439939,0.000318302,0.00077302,0.003834786,0.000409246
itching YES,1.52E-05,1.52E-05,0.000803335,0.000803335,0.00077302,0.003713528,3.03E-05
itching NO,0.000697234,0.002288746,0.000727548,4.55E-05,1.52E-05,0.000121258,0.00093975
swelling YES,0,0,0.000227359,0.000545661,0.000318302,0.001561197,0
swelling NO,0.000712391,0.002303903,0.001303524,0.000303145,0.000469875,0.002273588,0.000970064
redrashes YES,0,0,0.000181887,0.000530504,0.000242516,0.001015536,0
redrashes NO,0.000712391,0.002303903,0.001348996,0.000318302,0.000545661,0.00281925,0.000970064
Age G3,0.000227359,0.00060629,0.000469875,0.000394089,0.000348617,0.001318681,0.000212202
Age G5,7.58E-05,0.000106101,4.55E-05,4.55E-05,6.06E-05,0.000227359,3.03E-05
Age NO,0,0,1.52E-05,0,0,3.03E-05,0
Age G4,0.000121258,0.000272831,0.000303145,0.000106101,7.58E-05,0.000530504,0.000106101
Age G2,0.000181887,0.001015536,0.000454718,0.000227359,0.000227359,0.001394468,0.000515347
Age G1,0.000106101,0.000303145,0.000242516,7.58E-05,7.58E-05,0.00033346,0.000106101
Sex F,0.000378931,0.000970064,0.000788177,0.000560818,0.000409246,0.002425161,0.000515347
Sex M,0.00033346,0.001333839,0.000742706,0.000287988,0.000378931,0.001409625,0.000454718
Fhistory YES,0,0.001045851,0.001000379,0.00077302,0.000500189,0.00231906,0.000970064
Fhistory NO,0.000712391,0.001258052,0.000530504,7.58E-05,0.000287988,0.001515726,0
